Session: 1747167817.918161, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168009.819137, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168025.176518, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168040.5228539, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168055.90866, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168071.297354, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168086.672561, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168102.036789, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168117.400324, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168132.788359, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168148.151646, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168163.5920472, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168178.9195259, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168194.267783, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168209.756843, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168225.161949, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168240.518723, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168240.5190122, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168262.446329, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168284.6199749, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168306.5330229, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168328.6608698, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168350.710102, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168372.894311, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168394.983443, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747168417.284937, Buyers: 10, Sellers: 10, PropTraders: 2
