Session: 1747175513.604613, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175513.60496, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175539.0311239, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175539.0313659, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175564.735919, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175564.736151, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175590.5535429, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175590.5537632, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175616.4051478, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175616.4053571, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175642.393782, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175642.394046, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175668.311306, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175668.311517, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175694.221743, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175694.2219589, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175720.09728, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175720.097502, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175745.988718, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175745.988968, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175771.9282172, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175771.928449, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175797.8462, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175797.8464231, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175823.726984, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175823.727274, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175850.0898292, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175850.090913, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175875.873826, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175875.8740768, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747175901.6169238, Buyers: 5, Sellers: 5, PropTraders: 2
Session: 1747175901.617244, Buyers: 5, Sellers: 5, PropTraders: 2
Session: 1747175901.629728, Buyers: 5, Sellers: 5, PropTraders: 3
Session: 1747175901.6300118, Buyers: 5, Sellers: 5, PropTraders: 3
Session: 1747175901.6826088, Buyers: 5, Sellers: 5, PropTraders: 2
Session: 1747175901.6827981, Buyers: 5, Sellers: 5, PropTraders: 2
Session: 1747175901.6961112, Buyers: 5, Sellers: 5, PropTraders: 3
Session: 1747175901.696314, Buyers: 5, Sellers: 5, PropTraders: 3
Session: 1747175901.712331, Buyers: 5, Sellers: 5, PropTraders: 2
Session: 1747175901.712533, Buyers: 5, Sellers: 5, PropTraders: 2
Session: 1747175901.724663, Buyers: 5, Sellers: 5, PropTraders: 3
Session: 1747175901.72488, Buyers: 5, Sellers: 5, PropTraders: 3
