Session: 1747222462.27318, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222462.273401, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222477.788308, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222477.788497, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222493.441947, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222493.4421408, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222509.226978, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222509.227189, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222525.029284, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222525.0294888, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222540.970701, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222540.970907, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222556.8748019, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222556.874996, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222572.805571, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222572.805773, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222588.693978, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222588.694171, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222604.638172, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222604.638379, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222620.597054, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222620.597249, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222636.55129, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222636.5514822, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222652.508342, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222652.508542, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222668.580408, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222668.5805912, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222684.550797, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747222684.5511308, Buyers: 10, Sellers: 10, PropTraders: 2
