Session: 1747267709.98545, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267709.985708, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267710.336423, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267710.33671, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267710.8242009, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267710.8244412, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267711.311216, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267711.31146, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747267711.805871, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747267711.806132, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747267712.4692302, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747267712.469463, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747267713.062301, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747267713.062548, Buyers: 10, Sellers: 10, PropTraders: 3
