Starting session: baseline_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=1.14, price=161, party1=S01, party2=B06
Trade: time=2.18, price=151, party1=S03, party2=B07
Trade: time=2.73, price=143, party1=S02, party2=B08
Trade: time=3.23, price=146, party1=S07, party2=B01
Trade: time=4.73, price=150, party1=S05, party2=B04
Trade: time=5.09, price=163, party1=S06, party2=B05
Trade: time=6.64, price=163, party1=S05, party2=B09
Trade: time=7.73, price=150, party1=B00, party2=S09
Trade: time=9.18, price=165, party1=S06, party2=B07
Trade: time=10.50, price=158, party1=S01, party2=B02
Trade: time=10.68, price=160, party1=S02, party2=B09
Trade: time=11.23, price=163, party1=S08, party2=B04
Trade: time=11.68, price=160, party1=B00, party2=S06
Trade: time=11.95, price=166, party1=S07, party2=B08
Trade: time=12.59, price=153, party1=B01, party2=S09
Trade: time=13.32, price=155, party1=S02, party2=B05
Trade: time=13.55, price=154, party1=B09, party2=S00
Trade: time=14.00, price=167, party1=B03, party2=S03
Trade: time=14.91, price=177, party1=S04, party2=B07
Trade: time=15.41, price=174, party1=B05, party2=S01
Trade: time=16.23, price=172, party1=B01, party2=S07
Trade: time=18.41, price=156, party1=S06, party2=B03
Trade: time=18.77, price=147, party1=B00, party2=S00
Trade: time=20.23, price=157, party1=B02, party2=S09
Trade: time=20.32, price=147, party1=B07, party2=S01
Trade: time=20.64, price=151, party1=S08, party2=B04
Trade: time=20.91, price=151, party1=S04, party2=B05
Trade: time=21.68, price=161, party1=S05, party2=B00
Trade: time=23.23, price=162, party1=B08, party2=S09
Trade: time=24.36, price=165, party1=S08, party2=B05
Trade: time=25.32, price=167, party1=S03, party2=B00
Trade: time=25.55, price=158, party1=B04, party2=S00
Trade: time=26.09, price=153, party1=B03, party2=S07
Trade: time=26.50, price=160, party1=S04, party2=B07
Trade: time=26.91, price=152, party1=S07, party2=B00
Trade: time=27.00, price=158, party1=S05, party2=B01
Trade: time=27.27, price=145, party1=B06, party2=S01
Trade: time=27.77, price=156, party1=S03, party2=B05
Trade: time=29.45, price=150, party1=B04, party2=S04
Trade: time=29.55, price=158, party1=S01, party2=B01
Trade: time=31.68, price=156, party1=B07, party2=S04
Trade: time=32.27, price=160, party1=S02, party2=B04
Trade: time=33.64, price=168, party1=S00, party2=B01
Trade: time=33.73, price=164, party1=B09, party2=S07
Trade: time=34.18, price=158, party1=B00, party2=S01
Trade: time=35.82, price=164, party1=S08, party2=B08
Trade: time=36.91, price=161, party1=B05, party2=S03
Trade: time=37.77, price=161, party1=B00, party2=S09
Trade: time=38.82, price=151, party1=S07, party2=B03
Trade: time=40.36, price=148, party1=B04, party2=S04
Trade: time=40.73, price=152, party1=S06, party2=B02
Trade: time=40.91, price=159, party1=S05, party2=B01
Trade: time=42.09, price=160, party1=S09, party2=B00
Trade: time=44.59, price=148, party1=B08, party2=S05
Trade: time=45.36, price=149, party1=B07, party2=S03
Trade: time=45.68, price=139, party1=S02, party2=B05
Trade: time=47.23, price=153, party1=S08, party2=B06
Trade: time=48.32, price=147, party1=S01, party2=B00
Trade: time=49.00, price=149, party1=B06, party2=S06
Trade: time=49.23, price=153, party1=S05, party2=B01
Trade: time=50.27, price=155, party1=B04, party2=S02
Trade: time=50.45, price=158, party1=S08, party2=B03
Trade: time=51.50, price=154, party1=S00, party2=B05
Trade: time=51.95, price=163, party1=S09, party2=B07
Trade: time=53.50, price=163, party1=B01, party2=S09
Trade: time=53.59, price=162, party1=B09, party2=S02
Trade: time=53.77, price=172, party1=S08, party2=B06
Trade: time=54.73, price=164, party1=S00, party2=B08
Trade: time=55.27, price=161, party1=B02, party2=S06
Trade: time=55.82, price=166, party1=B00, party2=S01
Trade: time=55.91, price=172, party1=S07, party2=B08
Trade: time=56.45, price=168, party1=B05, party2=S04
Trade: time=59.73, price=151, party1=B06, party2=S02
Trade: time=59.77, price=154, party1=S05, party2=B01
Trade: time=59.86, price=157, party1=S07, party2=B03
Trade: time=60.55, price=153, party1=B02, party2=S01
Trade: time=60.86, price=162, party1=B04, party2=S00
Trade: time=61.91, price=167, party1=S03, party2=B09
Trade: time=62.77, price=164, party1=B03, party2=S09
Trade: time=63.77, price=162, party1=B08, party2=S05
Trade: time=64.32, price=158, party1=S07, party2=B06
Trade: time=65.27, price=161, party1=B00, party2=S04
Trade: time=65.82, price=167, party1=S01, party2=B05
Trade: time=67.32, price=169, party1=S00, party2=B02
Trade: time=68.27, price=157, party1=S00, party2=B07
Trade: time=69.27, price=168, party1=S05, party2=B03
Trade: time=69.73, price=157, party1=B04, party2=S01
Trade: time=70.45, price=160, party1=S02, party2=B06
Trade: time=71.91, price=152, party1=B08, party2=S01
Trade: time=73.18, price=159, party1=B00, party2=S06
Trade: time=73.27, price=167, party1=S09, party2=B07
Trade: time=73.36, price=151, party1=B06, party2=S00
Trade: time=74.27, price=162, party1=S07, party2=B04
Trade: time=74.77, price=171, party1=S02, party2=B05
Trade: time=75.14, price=168, party1=B03, party2=S05
Trade: time=77.23, price=175, party1=S08, party2=B01
Trade: time=77.77, price=164, party1=B08, party2=S09
Trade: time=78.45, price=171, party1=S03, party2=B05
Trade: time=79.91, price=158, party1=S04, party2=B06
Trade: time=81.09, price=156, party1=B09, party2=S02
Trade: time=82.41, price=165, party1=S07, party2=B04
Trade: time=83.32, price=163, party1=B03, party2=S07
Trade: time=83.77, price=163, party1=B00, party2=S03
Trade: time=85.23, price=149, party1=B09, party2=S09
Trade: time=85.86, price=149, party1=S05, party2=B04
Trade: time=86.45, price=152, party1=S06, party2=B02
Trade: time=86.68, price=164, party1=S00, party2=B07
Trade: time=87.00, price=164, party1=S02, party2=B09
Trade: time=87.32, price=160, party1=S03, party2=B08
Trade: time=87.36, price=164, party1=S04, party2=B06
Trade: time=88.82, price=164, party1=B02, party2=S08
Trade: time=89.45, price=151, party1=B03, party2=S05
Trade: time=90.36, price=166, party1=S02, party2=B04
Trade: time=90.86, price=165, party1=B07, party2=S00
Trade: time=92.09, price=160, party1=S07, party2=B06
Trade: time=93.00, price=163, party1=B07, party2=S00
Trade: time=94.32, price=166, party1=S06, party2=B01
Trade: time=94.45, price=157, party1=B05, party2=S03
Trade: time=95.23, price=163, party1=B03, party2=S07
Trade: time=96.27, price=164, party1=B08, party2=S03
Trade: time=97.23, price=165, party1=S05, party2=B00
Trade: time=97.41, price=169, party1=S04, party2=B05
Trade: time=98.36, price=168, party1=B09, party2=S03
Trade: time=99.32, price=162, party1=B01, party2=S01
Trade: time=100.36, price=162, party1=B05, party2=S07
Trade: time=100.45, price=159, party1=B07, party2=S02
Trade: time=101.09, price=165, party1=S09, party2=B00
Trade: time=102.18, price=168, party1=S04, party2=B08
Trade: time=102.95, price=169, party1=B06, party2=S00
Trade: time=104.36, price=165, party1=B09, party2=S02
Trade: time=105.50, price=162, party1=S09, party2=B02
Trade: time=106.14, price=161, party1=B05, party2=S01
Trade: time=106.32, price=169, party1=B03, party2=S07
Trade: time=107.36, price=173, party1=S03, party2=B01
Trade: time=108.41, price=160, party1=S05, party2=B08
Trade: time=108.59, price=164, party1=S08, party2=B00
Trade: time=110.59, price=171, party1=B04, party2=S09
Trade: time=111.00, price=167, party1=B09, party2=S06
Trade: time=112.18, price=167, party1=B07, party2=S00
Trade: time=113.05, price=172, party1=S07, party2=B02
Trade: time=113.55, price=166, party1=S04, party2=B02
Trade: time=114.45, price=155, party1=B01, party2=S03
Trade: time=115.77, price=160, party1=B00, party2=S08
Trade: time=116.05, price=162, party1=B06, party2=S07
Trade: time=116.77, price=158, party1=S02, party2=B03
Trade: time=116.91, price=169, party1=S09, party2=B02
Trade: time=117.18, price=172, party1=S01, party2=B04
Trade: time=118.59, price=155, party1=B07, party2=S07
Trade: time=119.64, price=173, party1=B00, party2=S00
