Starting session: baseline_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=9.36, price=153, party1=S06, party2=B09
Trade: time=16.73, price=181, party1=B00, party2=S01
Trade: time=30.05, price=174, party1=B06, party2=S02
Trade: time=30.77, price=152, party1=S08, party2=B02
Trade: time=35.59, price=154, party1=B08, party2=S09
Trade: time=38.41, price=166, party1=B05, party2=S06
Trade: time=39.36, price=161, party1=B00, party2=S07
Trade: time=44.86, price=168, party1=B04, party2=S03
Trade: time=44.95, price=156, party1=B02, party2=S06
Trade: time=52.27, price=170, party1=B02, party2=S08
Trade: time=55.32, price=169, party1=B07, party2=S09
Trade: time=62.00, price=164, party1=S09, party2=B01
Trade: time=65.41, price=175, party1=B09, party2=S06
Trade: time=66.32, price=181, party1=B04, party2=S01
Trade: time=70.45, price=152, party1=B07, party2=S08
Trade: time=80.27, price=169, party1=B08, party2=S05
Trade: time=86.73, price=152, party1=S03, party2=B09
Trade: time=90.45, price=156, party1=S00, party2=B08
Trade: time=92.36, price=166, party1=B09, party2=S07
Trade: time=96.41, price=171, party1=B07, party2=S03
Trade: time=99.00, price=157, party1=S03, party2=B02
Trade: time=112.59, price=166, party1=B00, party2=S00
Trade: time=115.14, price=180, party1=B00, party2=S07
Trade: time=122.14, price=169, party1=B00, party2=S01
Trade: time=123.95, price=160, party1=B09, party2=S08
Trade: time=124.50, price=148, party1=B05, party2=S04
Trade: time=132.18, price=174, party1=B02, party2=S08
Trade: time=133.09, price=157, party1=B09, party2=S09
Trade: time=134.91, price=163, party1=B00, party2=S01
Trade: time=136.55, price=160, party1=S06, party2=B02
Trade: time=141.95, price=154, party1=B06, party2=S06
Trade: time=148.23, price=166, party1=B04, party2=S01
Trade: time=149.27, price=165, party1=B00, party2=S00
Trade: time=150.50, price=159, party1=B09, party2=S02
Trade: time=154.77, price=174, party1=B07, party2=S02
Trade: time=155.64, price=176, party1=S00, party2=B06
Trade: time=163.23, price=162, party1=S08, party2=B09
Trade: time=168.09, price=161, party1=S01, party2=B02
Trade: time=169.23, price=158, party1=B08, party2=S08
Trade: time=173.55, price=161, party1=S04, party2=B00
Trade: time=174.68, price=144, party1=B09, party2=S01
Trade: time=178.00, price=171, party1=S06, party2=B02
Trade: time=182.00, price=169, party1=B03, party2=S05
Trade: time=182.50, price=167, party1=B05, party2=S09
Trade: time=184.41, price=147, party1=B09, party2=S07
Trade: time=186.68, price=171, party1=B05, party2=S00
Trade: time=187.64, price=173, party1=B00, party2=S06
Trade: time=194.27, price=170, party1=B05, party2=S07
Trade: time=195.86, price=149, party1=S08, party2=B04
Trade: time=202.41, price=166, party1=B08, party2=S04
Trade: time=203.64, price=171, party1=B03, party2=S07
Trade: time=204.41, price=157, party1=B07, party2=S06
Trade: time=207.32, price=170, party1=B01, party2=S01
Trade: time=208.18, price=151, party1=B07, party2=S03
Trade: time=219.50, price=171, party1=S03, party2=B06
Trade: time=224.14, price=170, party1=B02, party2=S09
Trade: time=226.18, price=165, party1=B03, party2=S08
Trade: time=226.91, price=161, party1=B08, party2=S01
Trade: time=230.50, price=158, party1=S06, party2=B09
Trade: time=231.32, price=170, party1=S07, party2=B07
Trade: time=236.73, price=173, party1=S01, party2=B06
Trade: time=239.64, price=158, party1=B02, party2=S02
Trade: time=256.41, price=156, party1=B09, party2=S08
Trade: time=262.32, price=165, party1=B02, party2=S06
Trade: time=264.64, price=156, party1=S06, party2=B06
Trade: time=268.86, price=160, party1=B00, party2=S02
Trade: time=280.68, price=164, party1=S01, party2=B08
Trade: time=285.50, price=176, party1=B05, party2=S09
Trade: time=288.68, price=149, party1=S00, party2=B02
Trade: time=291.55, price=148, party1=S01, party2=B01
Trade: time=295.23, price=159, party1=S03, party2=B01
Trade: time=295.64, price=151, party1=S01, party2=B08
Trade: time=305.45, price=172, party1=B05, party2=S09
Trade: time=306.05, price=162, party1=B05, party2=S06
Trade: time=320.05, price=176, party1=S04, party2=B04
Trade: time=332.68, price=179, party1=B08, party2=S05
Trade: time=334.41, price=155, party1=S01, party2=B09
Trade: time=343.86, price=157, party1=S06, party2=B09
Trade: time=347.41, price=173, party1=B01, party2=S00
Trade: time=354.27, price=177, party1=B07, party2=S05
Trade: time=355.86, price=160, party1=B09, party2=S06
