Starting session: experiment_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=9.27, price=151, party1=B04, party2=S00
Trade: time=14.14, price=167, party1=S00, party2=B02
Trade: time=19.05, price=162, party1=S07, party2=B06
Trade: time=20.18, price=157, party1=B04, party2=S05
Trade: time=22.45, price=177, party1=S09, party2=B08
Trade: time=25.00, price=153, party1=B09, party2=S06
Trade: time=33.14, price=162, party1=B07, party2=S08
Trade: time=33.45, price=163, party1=S09, party2=B01
Trade: time=33.73, price=160, party1=B08, party2=S06
Trade: time=41.41, price=163, party1=S00, party2=B02
Trade: time=44.18, price=164, party1=B02, party2=S00
Trade: time=46.14, price=159, party1=B01, party2=S09
Trade: time=53.32, price=152, party1=S06, party2=B00
Trade: time=54.82, price=151, party1=S09, party2=B02
Trade: time=58.36, price=162, party1=S09, party2=B03
Trade: time=59.91, price=165, party1=B09, party2=S02
Trade: time=65.45, price=161, party1=B08, party2=S06
Trade: time=67.36, price=148, party1=S00, party2=B00
Trade: time=69.00, price=159, party1=S04, party2=B05
Trade: time=76.86, price=163, party1=S06, party2=B04
Trade: time=85.77, price=158, party1=S08, party2=B08
Trade: time=92.14, price=178, party1=B08, party2=S02
Trade: time=101.00, price=169, party1=B04, party2=S09
Trade: time=105.68, price=159, party1=S00, party2=B05
Trade: time=106.05, price=139, party1=B06, party2=S01
Trade: time=108.59, price=168, party1=B09, party2=S00
Trade: time=109.82, price=163, party1=B05, party2=S04
Trade: time=115.50, price=169, party1=B02, party2=S06
Trade: time=124.91, price=165, party1=S08, party2=B06
Trade: time=130.45, price=163, party1=B02, party2=S03
Trade: time=131.09, price=140, party1=B00, party2=S00
Trade: time=140.91, price=154, party1=B08, party2=S08
Trade: time=146.00, price=163, party1=B02, party2=S09
Trade: time=154.27, price=158, party1=B05, party2=S09
Trade: time=157.27, price=159, party1=S08, party2=B01
Trade: time=161.50, price=152, party1=S05, party2=B01
Trade: time=162.86, price=151, party1=S09, party2=B05
Trade: time=169.77, price=157, party1=S09, party2=B03
Trade: time=171.95, price=151, party1=B05, party2=S06
Trade: time=180.05, price=170, party1=S07, party2=B04
Trade: time=185.59, price=146, party1=S00, party2=B09
Trade: time=190.05, price=150, party1=S05, party2=B00
Trade: time=193.50, price=160, party1=B09, party2=S01
Trade: time=194.95, price=171, party1=S07, party2=B03
Trade: time=198.73, price=178, party1=B08, party2=S02
Trade: time=206.00, price=162, party1=S09, party2=B05
Trade: time=209.86, price=177, party1=B07, party2=S07
Trade: time=223.41, price=148, party1=S09, party2=B04
Trade: time=225.59, price=177, party1=B07, party2=S09
Trade: time=227.14, price=167, party1=S03, party2=B04
Trade: time=228.09, price=157, party1=S00, party2=B08
Trade: time=233.91, price=175, party1=B05, party2=S03
Trade: time=234.05, price=166, party1=B08, party2=S05
Trade: time=245.14, price=180, party1=S01, party2=B03
Trade: time=245.55, price=172, party1=S08, party2=B04
Trade: time=252.55, price=139, party1=S09, party2=B01
Trade: time=253.64, price=142, party1=S01, party2=B08
Trade: time=254.50, price=155, party1=B04, party2=S05
Trade: time=257.45, price=168, party1=S01, party2=B05
Trade: time=264.82, price=181, party1=B09, party2=S08
Trade: time=265.64, price=164, party1=B04, party2=S02
Trade: time=268.68, price=164, party1=B05, party2=S03
Trade: time=269.00, price=151, party1=S09, party2=B08
Trade: time=275.41, price=166, party1=B00, party2=S08
Trade: time=280.55, price=162, party1=S08, party2=B06
Trade: time=286.45, price=164, party1=S03, party2=B06
Trade: time=286.55, price=158, party1=B04, party2=S01
