Starting session: experiment_mix_1_noise0.05_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=7.50, price=134, party1=S04, party2=B05
Trade: time=8.23, price=152, party1=B01, party2=S02
Trade: time=9.36, price=173, party1=S06, party2=B08
Trade: time=13.27, price=153, party1=B06, party2=S08
Trade: time=15.82, price=172, party1=S03, party2=B02
Trade: time=16.18, price=133, party1=S01, party2=B07
Trade: time=18.64, price=170, party1=B00, party2=S04
Trade: time=19.09, price=162, party1=S01, party2=B09
Trade: time=20.68, price=168, party1=B02, party2=S05
Trade: time=26.73, price=141, party1=S05, party2=B04
Trade: time=30.05, price=144, party1=S00, party2=B01
Trade: time=32.95, price=145, party1=S01, party2=B04
Trade: time=34.59, price=150, party1=S06, party2=B00
Trade: time=42.14, price=176, party1=S05, party2=B05
Trade: time=48.68, price=155, party1=B07, party2=S06
Trade: time=52.68, price=158, party1=S05, party2=B00
Trade: time=54.23, price=166, party1=B09, party2=S03
Trade: time=56.18, price=165, party1=S07, party2=B06
Trade: time=56.41, price=168, party1=S08, party2=B03
Trade: time=62.05, price=158, party1=S07, party2=B08
Trade: time=67.68, price=179, party1=S05, party2=B06
Trade: time=70.45, price=166, party1=S03, party2=B03
Trade: time=78.91, price=183, party1=S03, party2=B03
Trade: time=81.14, price=160, party1=S07, party2=B01
Trade: time=82.86, price=152, party1=S08, party2=B01
Trade: time=92.00, price=157, party1=B01, party2=S03
Trade: time=93.95, price=160, party1=S08, party2=B09
Trade: time=95.27, price=168, party1=S09, party2=B03
Trade: time=97.23, price=154, party1=S08, party2=B00
Trade: time=100.91, price=160, party1=B03, party2=S06
Trade: time=103.09, price=171, party1=B01, party2=S08
Trade: time=107.45, price=153, party1=B00, party2=S03
Trade: time=126.14, price=157, party1=S05, party2=B09
Trade: time=131.77, price=162, party1=S01, party2=B04
Trade: time=135.45, price=171, party1=S04, party2=B07
Trade: time=135.82, price=180, party1=B09, party2=S05
Trade: time=136.64, price=173, party1=B01, party2=S07
Trade: time=150.55, price=159, party1=B06, party2=S03
Trade: time=151.77, price=175, party1=B01, party2=S04
Trade: time=158.05, price=155, party1=S04, party2=B03
Trade: time=158.73, price=164, party1=B04, party2=S08
Trade: time=160.18, price=159, party1=S07, party2=B08
Trade: time=162.05, price=167, party1=S01, party2=B00
Trade: time=164.77, price=173, party1=S06, party2=B04
Trade: time=174.91, price=166, party1=B01, party2=S06
Trade: time=175.18, price=162, party1=B09, party2=S07
Trade: time=176.05, price=167, party1=B06, party2=S00
Trade: time=177.23, price=149, party1=B07, party2=S01
Trade: time=181.50, price=148, party1=S03, party2=B06
Trade: time=184.05, price=174, party1=B09, party2=S03
Trade: time=185.95, price=159, party1=S09, party2=B03
Trade: time=190.27, price=147, party1=S01, party2=B09
Trade: time=197.86, price=160, party1=B00, party2=S09
Trade: time=201.32, price=169, party1=B03, party2=S00
Trade: time=207.36, price=174, party1=B04, party2=S04
Trade: time=208.95, price=161, party1=B06, party2=S07
Trade: time=212.14, price=150, party1=S05, party2=B01
Trade: time=213.55, price=173, party1=S09, party2=B06
Trade: time=217.05, price=163, party1=B07, party2=S04
Trade: time=221.09, price=175, party1=B02, party2=S00
Trade: time=227.00, price=156, party1=S03, party2=B01
Trade: time=231.14, price=178, party1=S01, party2=B02
Trade: time=233.45, price=160, party1=B04, party2=S05
Trade: time=235.68, price=157, party1=B02, party2=S03
Trade: time=241.95, price=143, party1=B04, party2=S01
Trade: time=249.77, price=153, party1=B04, party2=S07
Trade: time=251.50, price=155, party1=S01, party2=B07
Trade: time=254.00, price=169, party1=B09, party2=S02
Trade: time=258.73, price=176, party1=S02, party2=B09
Trade: time=259.59, price=155, party1=S05, party2=B07
Trade: time=261.86, price=156, party1=B05, party2=S04
Trade: time=262.59, price=168, party1=B02, party2=S01
Trade: time=263.00, price=153, party1=B01, party2=S00
Trade: time=263.59, price=166, party1=B04, party2=S07
Trade: time=266.05, price=158, party1=S09, party2=B05
Trade: time=269.68, price=161, party1=S08, party2=B02
Trade: time=271.82, price=154, party1=B06, party2=S06
Trade: time=278.50, price=160, party1=S04, party2=B07
Trade: time=283.05, price=166, party1=B06, party2=S02
Trade: time=286.23, price=161, party1=B09, party2=S00
Trade: time=288.09, price=164, party1=S04, party2=B08
Trade: time=288.55, price=174, party1=B09, party2=S00
Trade: time=294.36, price=156, party1=B07, party2=S09
Trade: time=300.64, price=165, party1=S04, party2=P01
Trade: time=302.55, price=157, party1=S09, party2=B00
Trade: time=303.23, price=161, party1=S01, party2=B04
Trade: time=305.05, price=165, party1=P01, party2=B09
Trade: time=308.05, price=165, party1=P01, party2=B07
Trade: time=313.91, price=158, party1=B02, party2=S06
Trade: time=314.50, price=165, party1=P01, party2=B08
Trade: time=317.73, price=160, party1=S09, party2=B03
Trade: time=320.91, price=164, party1=B09, party2=S02
Trade: time=324.41, price=165, party1=P01, party2=B03
Trade: time=325.64, price=152, party1=S08, party2=B09
Trade: time=328.09, price=165, party1=P01, party2=B06
Trade: time=328.27, price=152, party1=B08, party2=S00
Trade: time=329.55, price=165, party1=P01, party2=B04
Trade: time=330.27, price=165, party1=P01, party2=B05
Trade: time=331.59, price=154, party1=S06, party2=B06
Trade: time=333.09, price=160, party1=S07, party2=B07
Trade: time=339.50, price=165, party1=P01, party2=B06
Trade: time=341.18, price=165, party1=P01, party2=B02
Trade: time=348.09, price=165, party1=P01, party2=B09
Trade: time=349.32, price=158, party1=B04, party2=S04
Trade: time=351.14, price=165, party1=P01, party2=B09
Trade: time=352.09, price=156, party1=S00, party2=B08
Trade: time=353.55, price=165, party1=P01, party2=B05
Trade: time=353.82, price=164, party1=S05, party2=B04
Trade: time=366.50, price=165, party1=P01, party2=B07
Trade: time=372.59, price=165, party1=P01, party2=B05
Trade: time=373.73, price=162, party1=B09, party2=S05
Trade: time=380.09, price=147, party1=B02, party2=S03
Trade: time=380.27, price=165, party1=P01, party2=B06
Trade: time=380.45, price=156, party1=B07, party2=S05
Trade: time=380.68, price=165, party1=P01, party2=B00
Trade: time=380.77, price=173, party1=B01, party2=P01
Trade: time=392.45, price=165, party1=B06, party2=S00
Trade: time=394.27, price=159, party1=B06, party2=S04
Trade: time=395.23, price=168, party1=B07, party2=S03
Trade: time=396.05, price=183, party1=B03, party2=S08
Trade: time=401.18, price=180, party1=B06, party2=S09
Trade: time=406.55, price=163, party1=B09, party2=S07
Trade: time=409.59, price=183, party1=B01, party2=S03
Trade: time=415.27, price=161, party1=S09, party2=B05
Trade: time=416.45, price=152, party1=S05, party2=B08
Trade: time=418.86, price=169, party1=S07, party2=B08
Trade: time=420.64, price=168, party1=S03, party2=B01
Trade: time=421.50, price=154, party1=S02, party2=B05
Trade: time=424.45, price=162, party1=B02, party2=S06
Trade: time=429.09, price=185, party1=B08, party2=S00
Trade: time=432.00, price=163, party1=B04, party2=S05
Trade: time=441.23, price=153, party1=S09, party2=B07
Trade: time=446.27, price=180, party1=B08, party2=S00
Trade: time=448.73, price=196, party1=B01, party2=S02
Trade: time=450.59, price=160, party1=S00, party2=B02
Trade: time=460.73, price=177, party1=S09, party2=B00
Trade: time=463.00, price=174, party1=S05, party2=B02
Trade: time=467.27, price=158, party1=B05, party2=S03
Trade: time=469.64, price=183, party1=B03, party2=S06
Trade: time=470.68, price=157, party1=S03, party2=B00
Trade: time=475.27, price=162, party1=B06, party2=S00
Trade: time=476.14, price=166, party1=S06, party2=B01
Trade: time=478.36, price=185, party1=B09, party2=S07
Trade: time=481.23, price=176, party1=B07, party2=S05
Trade: time=487.14, price=166, party1=S03, party2=B05
Trade: time=490.36, price=155, party1=B01, party2=S00
Trade: time=491.91, price=179, party1=B09, party2=S05
Trade: time=495.32, price=160, party1=S01, party2=B02
Trade: time=498.82, price=176, party1=B09, party2=S05
Trade: time=501.41, price=159, party1=S01, party2=B08
Trade: time=506.86, price=164, party1=B00, party2=S02
Trade: time=508.23, price=160, party1=B08, party2=S01
