Starting session: experiment_mix_2_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=3.87, price=158, party1=S06, party2=B07
Trade: time=7.65, price=152, party1=S07, party2=B08
Trade: time=9.78, price=156, party1=B05, party2=S06
Trade: time=17.83, price=163, party1=S06, party2=B08
Trade: time=21.91, price=144, party1=B06, party2=S05
Trade: time=25.00, price=166, party1=B01, party2=S06
Trade: time=26.39, price=155, party1=S00, party2=B02
Trade: time=27.52, price=149, party1=S08, party2=B02
Trade: time=33.13, price=159, party1=B03, party2=S04
Trade: time=37.52, price=176, party1=S07, party2=B01
Trade: time=40.74, price=158, party1=B09, party2=S00
Trade: time=41.57, price=163, party1=B05, party2=S04
Trade: time=44.35, price=164, party1=S07, party2=B02
Trade: time=45.70, price=165, party1=S05, party2=B07
Trade: time=48.96, price=143, party1=B02, party2=S02
Trade: time=51.17, price=163, party1=S00, party2=B08
Trade: time=60.57, price=173, party1=B03, party2=S06
Trade: time=61.52, price=175, party1=B09, party2=S03
Trade: time=64.09, price=168, party1=B00, party2=S05
Trade: time=68.78, price=144, party1=S00, party2=B07
Trade: time=70.35, price=171, party1=B04, party2=S02
Trade: time=80.30, price=144, party1=S09, party2=B07
Trade: time=83.87, price=168, party1=B02, party2=S03
Trade: time=93.65, price=151, party1=S08, party2=B05
Trade: time=97.74, price=159, party1=B06, party2=S00
Trade: time=105.65, price=143, party1=S01, party2=B08
Trade: time=107.17, price=154, party1=B05, party2=S06
Trade: time=112.39, price=164, party1=B08, party2=S01
Trade: time=116.91, price=179, party1=B05, party2=S08
Trade: time=119.48, price=160, party1=B00, party2=S04
Trade: time=129.09, price=182, party1=B01, party2=S03
Trade: time=131.00, price=146, party1=S09, party2=B02
Trade: time=137.17, price=177, party1=B00, party2=S02
Trade: time=142.09, price=163, party1=S04, party2=B03
Trade: time=143.22, price=162, party1=S05, party2=B06
Trade: time=149.83, price=142, party1=S09, party2=B04
Trade: time=155.87, price=161, party1=S04, party2=B00
Trade: time=161.83, price=168, party1=B03, party2=S04
Trade: time=164.22, price=158, party1=B05, party2=S00
Trade: time=169.17, price=161, party1=S01, party2=B08
Trade: time=172.96, price=169, party1=B01, party2=S05
Trade: time=180.74, price=169, party1=S03, party2=B01
Trade: time=183.91, price=172, party1=B08, party2=S09
Trade: time=185.78, price=154, party1=B09, party2=S09
Trade: time=188.87, price=169, party1=B03, party2=S01
Trade: time=194.17, price=157, party1=B08, party2=S07
Trade: time=195.61, price=166, party1=S08, party2=B02
Trade: time=195.74, price=161, party1=B09, party2=S09
Trade: time=197.13, price=169, party1=S06, party2=B03
Trade: time=200.30, price=166, party1=B01, party2=S01
Trade: time=209.35, price=149, party1=S04, party2=B08
Trade: time=214.26, price=170, party1=B09, party2=S04
Trade: time=216.22, price=149, party1=B05, party2=S03
Trade: time=220.65, price=160, party1=B06, party2=S06
Trade: time=221.96, price=162, party1=S09, party2=B02
Trade: time=225.91, price=176, party1=B09, party2=S04
Trade: time=228.00, price=157, party1=B00, party2=S05
Trade: time=230.57, price=159, party1=S03, party2=B03
Trade: time=234.35, price=161, party1=S05, party2=B08
Trade: time=238.91, price=178, party1=B05, party2=S06
Trade: time=239.00, price=177, party1=B06, party2=S05
Trade: time=240.91, price=171, party1=S09, party2=B00
Trade: time=244.83, price=164, party1=B02, party2=S02
Trade: time=250.39, price=172, party1=S09, party2=B05
Trade: time=252.22, price=159, party1=B02, party2=S01
Trade: time=254.13, price=161, party1=S02, party2=B06
Trade: time=255.17, price=159, party1=B03, party2=S01
Trade: time=260.39, price=165, party1=S06, party2=B08
Trade: time=262.30, price=147, party1=B02, party2=S02
Trade: time=263.17, price=146, party1=S03, party2=B05
Trade: time=272.96, price=163, party1=S07, party2=B00
