Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=2.91, price=154, party1=B07, party2=S03
Trade: time=4.13, price=162, party1=B03, party2=S04
Trade: time=8.91, price=148, party1=S02, party2=B02
Trade: time=14.91, price=173, party1=B09, party2=S01
Trade: time=15.26, price=158, party1=B08, party2=S08
Trade: time=17.04, price=192, party1=B05, party2=S03
Trade: time=20.48, price=170, party1=S05, party2=B06
Trade: time=24.17, price=150, party1=S05, party2=B07
Trade: time=24.78, price=169, party1=S08, party2=B09
Trade: time=26.52, price=163, party1=B00, party2=S07
Trade: time=28.70, price=169, party1=B06, party2=S09
Trade: time=32.30, price=192, party1=B03, party2=S08
Trade: time=32.35, price=186, party1=B05, party2=S01
Trade: time=33.52, price=190, party1=B04, party2=S00
Trade: time=35.91, price=161, party1=B00, party2=S01
Trade: time=37.78, price=150, party1=B09, party2=S07
Trade: time=41.30, price=188, party1=S01, party2=B04
Trade: time=45.87, price=151, party1=S00, party2=B00
Trade: time=46.78, price=127, party1=B08, party2=S08
Trade: time=47.48, price=152, party1=B04, party2=S03
Trade: time=49.48, price=178, party1=S04, party2=B05
Trade: time=50.04, price=180, party1=B04, party2=S07
Trade: time=50.43, price=165, party1=B07, party2=S00
Trade: time=53.17, price=168, party1=S05, party2=B00
Trade: time=56.57, price=153, party1=S01, party2=B07
Trade: time=56.91, price=152, party1=B06, party2=S02
Trade: time=58.26, price=195, party1=B00, party2=S04
Trade: time=59.91, price=173, party1=B06, party2=S06
Trade: time=60.17, price=159, party1=B09, party2=S05
Trade: time=64.52, price=196, party1=S04, party2=B03
Trade: time=65.04, price=165, party1=S09, party2=B08
Trade: time=67.35, price=145, party1=B04, party2=S06
Trade: time=72.04, price=171, party1=B00, party2=S04
Trade: time=75.74, price=155, party1=S00, party2=B05
Trade: time=77.83, price=135, party1=B08, party2=S03
Trade: time=80.74, price=173, party1=B08, party2=S09
Trade: time=84.70, price=186, party1=B06, party2=S01
Trade: time=93.35, price=161, party1=S06, party2=B02
